Please add any networks advancing open scholarship in their communities, and add or fix any missing data in the ones listed already! JOIN THE GOOGLE GROUP HERE: https://groups.google.com/a/cos.io/forum/#!forum/network-of-open-science-grassroots-networks													
Name	Website	Twitter Handle	Facebook Page	Region Served (specify or ALL)	Discipline(s) Served (Specify or ALL)	Topics/Activities Served (Specify or ALL)	Kind of Topics	Primary Contact (email)	Primary Contact (other)	Secondary Contact (email)	Secondary Contact (other)	Comments	
Open Scholarship Community Galway	http://osc-galway.ie/	@OSCGalway		Galway and West of Ireland	ALL	ALL	Community	hardy.schwamm@nuigalway.ie	@hardyschwamm		@KMMoerman	An community of Open Scholarship supporters at NUI Galway and beyond	
Open Science	http://opensciencefederation.com/	@openscience		ALL	ALL	ALL	Community	brian.glanz@opensciencefederation.org	@brianglanz				
Open Science Canada				Canada	ALL	ALL	Community / Service	samuel.guay@umontreal.ca	@SamGuay_	danny@openscience.ca	@dannycolincom	Aims to build a Canadian open science network/community to facilitate collaboration and sharing between local organizations. In its infancy stage. 	
Open Science Committee at LMU Munich	https://osf.io/mgwk8/files/			Germany, LMU Munich	Psychology	ALL	Committee	felix.schoenbrodt@psy.lmu.de					
Open Science Community Amsterdam	https://openscience-amsterdam.com/	@OSCAmsterdam	not planned	Amsterdam, Netherlands	Currently psychology	ALL	Community	openscience.amsterdam@gmail.com	@oscamsterdam	alexandra.sarafoglou@gmail.com	s.hoogeveen@uva.nl		
Open Science Community Eindhoven	https://osceindhoven.github.io/	@osceindhoven		Eindhoven, Netherlands	ALL	ALL	Community	j.s.heunis@tue.nl					
Open Science Community Groningen	www.openscience-groningen.nl	@OSCGroningen		Groningen, Netherlands	ALL	ALL	Community	info@openscience-groningen.nl					
Open Science Community Leiden	https://www.universiteitleiden.nl/open-science-community-leiden	@oscleiden	not planned	University Leiden, Netherlands	ALL (starting social sciences)	ALL	Community	oscl@leidenuniv.nl		vantveer@gmail.com	z.sjoerds@fsw.leidenuniv.nl		
Open Science Community Maastricht				Maastricht, the Netherlands		Open Research, Open Data, Open Materials	Community		@wlijkingrid				
Open Science Community Nijmegen	https://openscience-nijmegen.nl/	@OSCNijmegen		Nijmegen, the Netherlands	ALL	ALL	Community	contact@openscience-nijmegen.nl		Eirini.Zormpa@mpi.nl			
Open Science Community Rotterdam		@OSCRotterdam	not planned	Rotterdam, Netherlands	ALL	ALL	Community	schettino@eur.nl	@asch3tti		@marliesmeilof	Community of researchers, policy makers, and support staff working at Erasmus University Rotterdam and Erasmus Medical Center. Promotes and supports open and transparent scientific practices at all stages of the research lifecycle.	
Open Science Community Sweden	www.opensciencesweden.org		Not planned	Sweden	ALL	ALL	Community	information@opensciencesweden.org					
Open Science Community Tilburg		@OpenTilburg		Tilburg, Netherlands	ALL	ALL	Community	D.Rutten@uvt.nl	@DaanDRDR	ovdakker@gmail.com	@DenOlmo		
Open Science Community Utrecht	https://openscience-utrecht.com/	@OpenSciUtrecht	not planned	Utrecht, Netherlands	ALL	ALL	Community	a.eerland@uu.nl	@AnitaEerland	l.brinkman@uu.nl	@LoekBrinkman	Working on a network of Open Science Communities in the Netherlands	
Open Science Community Saudi Arabia	https://zenodo.org/communities/1231231664/?page=1&size=20			Saudi Arabia	ALL	ALL	Community	batool@liverpool.ac.uk	@batool664			This is the first Open Science Community in the Middle East, trying to adopt Open Science prcatices and it's part of the International Network of Open Science & Scholarship Communities (INOSC).	
Open Science Coordination in Finland	https://avointiede.fi/en	@AvoinTiede	https://www.facebook.com/avointiede/	Finland	ALL	ALL	Service	avointiede@tsv.fi	@AvoinTiede			In Finland Open Science activities are coordinated by The Federation of Finnish Learned Socities. The coordination is based on a strong collaboration between all members of the research community.	
Open Science Fellows Program	https://en.wikiversity.org/wiki/Wikimedia_Deutschland/Open_Science_Fellows_Program	@OpenSciFellows 	not planned	Germany, Austria, Switzerland	ALL	ALL	Project	wissenschaft@wikimedia.de	@CSchwarzkopf			 This is a joint project of Wikimedia Deutschland, the Stifterverband, and the Volkswagen Foundation. The Fellows Program supports the Fellows over a period of eight months and consists of four components: qualification, mentoring, financial support and networking & visibility	
Open Science Göttingen Meet-up	https://www.sub.uni-goettingen.de/en/electronic-publishing/open-science/			Göttingen, Germany	ALL	Open access, Open data, Open code, Open methodologies, open peer-reviews	Initiative	bschmidt@sub.uni-goettingen.de		mimkes@sub.uni-goettingen.de			
Open Science Initiative Leipzig	https://osf.io/kwqya/			Germany, Leipzig University	Currently psychology, soon: ALL	Currently: dissemination of information, changes to curriculum, changes to job ads; coming soon: central hub of Open Science initiatives and actors in Leipzig	Initiative	julia.rohrer@posteo.de	@dingding_peng	schmukle@uni-leipzig.de		We are currently setting up the Open Science Network Leipzig to link all initiatives and actors in Leipzig. Officially, this will be located at the University of Leipzig, but we will cover other institutions such as the Max Planck Institutes as well. We're a part of NOSI	
Open Science Initiative Münster	https://osf.io/x3s5c/			Münster University, Germany	Psychology	ALL	Initiative	mitja.back@wwu.de					
Open Science Initiative, Department of Psychology, University of Zurich	https://www.psychologie.uzh.ch/de/dienstleistungen/open-science.html			University Zurich, Switzerland	Psychology	Open Access, Open Data	Initiative	johannes.ullrich@uzh.ch					
Open Science MOOC	https://opensciencemooc.eu/	@opensciencemooc		ALL	ALL	Open Research, Open Access, Open Evaluation, Open Advocay	MOOC	info@opensciencemooc.eu				https://opensciencemooc.eu/people/	
Open Science Network Austria (OANA)	https://www.oana.at/			Austria	ALL	Open Methodology, Open Evaluation, Open Access, Open Research Data, Open Science	Community	info@oana.at					
Open Science Turkey	www.acikbilim.org	@openscience_tr		Turkey	ALL	Advocacy, Policy, Open Access	Initiative	gultekingurdal@iyte.edu.tr	@turkgultekin	hemrekocalar@mu.edu.tr	@_hackim		
Open Science UMontreal	https://umontreal.openscience.ca 	@OSUMontreal	https://facebook.com/OSUMontreal	Montreal, Canada	ALL	ALL, geared towards students	Community	samuel.guay@umontreal.ca	@SamGuay_	contact@dannycolin.com	@dannycolincom	We are starting a student initiative under the openscience.ca network umbrella to improve the Open Science Community around Quebec. 	
Open Source Antibiotics	https://github.com/opensourceantibiotics	@OSantibiotics		ALL	Drug Discovery	Open Source	Service	matthew.todd@ucl.ac.uk		swain@mac.com			
Open Source Malaria	https://github.com/OpenSourceMalaria	@O_S_M		ALL	Drug Discovery	Open Source	Service	opensourcemalaria@gmail.com					
Open Source Mycetoma	https://github.com/OpenSourceMycetoma	@MycetOS		ALL	Drug Discovery	Open Source	Service	opensourcemycetoma@gmail.com					
Open Source Pharma Foundation (OSPF)	https://www.ospfound.org	@OSPInfo		ALL	Drug Discovery	Open Source	Community	info@ospfound.org					
Open Source Tuberculosis	https://github.com/OpenSourceTB	@OpenSourceTB		ALL	Drug Discovery	Open Source	Service 	opensourcetb@gmail.com					
OpenAIRE	https://www.openaire.eu/	@openaire_eu	https://www.facebook.com/groups/openaire/	EU	ALL	Open Science, Open Access, Open Science Policies, Open Science Services, Training	Service	natalia@di.uoa.gr		najla.rettberg@sub.uni-goettingen.de		OpenAIRE is organising the Open Science Fair in September (16-18) in Porto together with FIT4RRI, FAIRsFAIR and the EOSC Secretariat.	
OpenCon Community (and Satellite meetings)	https://www.opencon2018.org/	@open_con	https://www.facebook.com/OpenConGlobal/	ALL	ALL	Open Science, Open Access, Open Data, Open Educational Resources	Community/ Conference	nick@sparcopen.org				Satellite meetings in Philly (2019), Cascadia (2019), Oxford, Cambridge, New York City, Jakarta	
Openscapes	https://openscapes.org	@openscapes		ALL theoretically, USA currently	ALL, Environmental science focus currently, bridging into biomed	Open data science, teamwork, inclusion, culture	Remote mentorship series	openscapes@nceas.ucsb.edu	@openscapes	lowndes@nceas.ucsb.edu	@juliesquid	Our primary focus is a remote-by-design mentorship program for science teams. Centered around collaborative coding and open science, we mentor cohorts of research groups, where group leads and members actively engage together to develop habits and mindsets to make data workflows and team culture more efficient and resilient.	
ORION Open Science	https://www.orion-openscience.eu	@orion_opensci	https://www.facebook.com/ORIONOpenScience/	EU	ALL, theoretically but special focus on Life sciences and biomedicine	Open Science, Responsible Research and Innovation, RRI. Trainings, podcasts, public engagement and co-creation activities.	Project	maria.hagardt@v-a.se	@MHagardt	Michela.bertero@crg.eu	@MichelaBertero	The EU ORION Open Science project (2017-2021) will explore ways in which research and funding organisations in life sciences and biomedicine can open up the way they fund, organise and do research.	
OSIP - Open Science Initiative Technische Universität Dresden	https://tu-dresden.de/psych/openscience	@OSIP_Dresden		Germany, Dresden University	ALL (theoretically), Psychology (in its current form)	ALL	Initiative	stefan.scherbaum@tu-dresden.de		daniel.leising@tu-dresden.de			
paleorXiv	https://paleorxiv.org/	@paleorxiv		ALL	Palaeontology	Preprints and Postprints	Service	jon.tennant.2@gmail.com					
Peer Community In...	https://peercommunityin.org/			ALL	Ecology, Paleo, Evol Biol, Animal Science, Entomology	Preprints and Postprints	Community	denis.bourguet@inra.fr					
Peer Reviewer's Openness (PRO) Initiative	https://opennessinitiative.org/	NA		ALL	ALL	Peer review	Initiative	moreyr@cardiff.ac.uk					
Perth Open Research Network		@perthopenres		Perth, Australia	ALL	ALL	Community	Patrick.Dunlop@curtin.edu.au	@PersonalityPat		@awhug	Part of the Australia & New Zealand Open Research Network (ANZORN)	
Philippine Researchers for Open Science 	https://sites.google.com/view/openscienceph	@openscienceph	https://www.facebook.com/groups/openscienceph/	Philippines 	Psychology	ALL	Community	openscienceph@gmail.com 					
PhysioNet	https://alpha.physionet.org/			ALL	Physiology, Biomedicine	Open data	Service	tpollard@mit.edu					
PREreview (Post, Read, and Engage with preprint reviews)	https://prereview.org	@PREreview_		ALL	ALL (theoretically), Life Sciences (at the moment)	Crowd-sourced peer review of preprints	Service	contact@prereview.org		daniela@prereview.org	@Neurosarda	Currently a group on Authorea. Moving to a full open-source platform in the next few months. 	
Project TIER	projecttier.org	@Project_TIER		ALL	quantitative fields	computational reproducibility	Project	info@projecttier.org				Project TIER’s mission is to promote a systemic change in the professional norms related to the transparency and reproducibility of empirical research in the social sciences. It is guided by the principle that providing comprehensive replication documentation for research involving statistical data should be as ubiquitous and routine as providing a list of references.	
PsyArXiv	http://psyarxiv.com	@psyarxiv		ALL	Psychology	Preprints and Postprints	Service	bbrown6@ggc.edu 	@bentbrown				
Psych File Drawer	https://psychfiledrawer.org/	@PsychFileDrawer		ALL	Psychology	Self-archiving replication results	Service	contact@psychfiledrawer.org					
Psychological Science Accelerator	https://psysciacc.org/	@PsySciAcc	https://www.facebook.com/psysciacc/	ALL	Psychology	Collaborative Research	Community	cchartie@ashland.edu 		psysciaccelerator@gmail.com		The Psychological Science Accelerator is a globally distributed network of psychological science laboratories (currently over 500), representing over 60 countries on all six populated continents, that coordinates data collection for democratically selected studies.  Our mission is to accelerate the accumulation of reliable and generalizable evidence in psychological science, reducing the distance between truth about human behavior and mental processes and our current understanding. This challenge cannot be adequately met by a single researcher or small team. Instead, we attempt to meet this challenge with a distributed laboratory network that is ongoing (as opposed to time or task limited), diverse (both in terms of human subjects and participating researchers), and inclusive (we welcome ideas, contributions, study proposals, or other input from anyone in the field of psychology).	 
ReplicationWiki	http://replication.uni-goettingen.de/ 			ALL (based on University Goettingen)	Social Sciences	replication material of published empirical studies & replication results	Project	jhoeffl@gwdg.de					
ReproducibiliTea Journal Club Series	https://osf.io/3qrj6/	@ReproucibiliT		ALL	ALL	Education	Initiative	sophia.cruwell@student.uva.nl	@cruwelli	amy.orben@psy.ox.ac.uk	@orbenamy	supported by UKRN; available to ECRs internationally	
Reproducible Science @ Stanford	http://reproduciblescience.stanford.edu/			Stanford University	Biosciences	Educatoin, Awareness	Initiative	sstelios@stanford.edu	@steliosserghiou				
Research Data Alliance	https://rd-alliance.org/	@resdatall		ALL	ALL	Open data	Initiative	hilary.hanahoe@gmail.com	@hilaryhanahoe				
Research Data Utilization Forum (RDUF)	https://japanlinkcenter.org/rduf/english.html			Japan 	ALL	Open data	Community	info＠japanlinkcenter.org				There are websites both in Japanes and English. Japanese site seems to have richer contents than English. https://japanlinkcenter.org/rduf/index.html	
Rete Italiana Open Science (Open Science Italian Network)			https://www.facebook.com/groups/172297443522463	Italy	ALL	Open Science	Community	massimo.grassi@unipd.it	konstantinos.priftis@unipd.it	patrizio.tressoldi@unipd.it			
RIOT Science Club	https://osf.io/8y7h2/	@riotscienceclub		King's College London	ALL	ALL, Education	Project	samuel.westwood@kcl.ac.ul		riotscienceclub@gmail.com			
rOpenSci	https://ropensci.org/	@ropensci		ALL	ALL	Open code, Software peer review	Initiative	karthik.ram@gmail.com		stefanie@ropensci.org			
RUB Open Science Initiative				Germany, Bochum	Psychology	ALL	Initiative	malte.elson@rub.de		erhan.genc@rub.de			
Sains Terbuka Airlangga	https://sainsterbukaua.github.io/	@sainsterbukaUA	https://www.facebook.com/SainsTerbukaAirlangga/	Universitas Airlangga and All Universities in Eastern Indonesia	ALL, but mainly Social Sciences	Education, advocacy, and promotions	Community	amelia.zein@psikologi.unair.ac.id	@ameliazein	ilham.ridlo@fkm.unair.ac.id	@iaridlo	We have a strong partnership with IGDORE and INA-Rxiv and have received numerous help and support from them.	
San Francisco Declaration on Research Assessment (DORA)	https://sfdora.org/	@DORAassessment		ALL	ALL	Evaluation/Assessment	Initiative	info@sfdora.org		ahatch@ascb.org 			
Science Gateways Community Institute (SGCI)	http://sciencegateways.org	@sciencegateways		US	ALL	Web portal/science gateway development	Community	mzentner@purdue.edu		marpierc@iu.edu		NSF-funded software institute to help researchers design and operate better gateways. Gateways (aka virtual labs, virtual research environments) often provide open access to anyone.	
Scientific Electronic Library Online (SciELO)	https://scielo.org/	@RedeSciELO		Latin America and Spanish, Portugal and South Africa	ALL	Open Access and Preprints	Project	scielo@scielo.org					
SciPost	https://scipost.org/	@scipost_dot_org		ALL	Mainly Physics	Full publishing facilities, with community	Service	jscaux@scipost.org				Business model described on https://scipost.org/finances/business_model/	
SocArXiv	http://socarxiv.org	@socarxiv		ALL	Social Sciences	Preprints and Postprints	Service	philipncohen@gmail.com	@familyunequal				
Society for the Improvement of Psychological Science	http://improvingpsych.org/	@improvingpsych		ALL	Psychology	ALL	Community	sanjay@uoregon.edu	@hardsci	k.corker@gmail.com	@katiecorker		
Society for Transparency, Openness, and Replication in Kinesiology (STORK)	http://storkinesiology.org/	@storkinesiology		ALL	Kinesiology	Open Methodes, Open Practice	Community	john@sportrxiv.org	@jpmillsphd				
Software Sustainability Institute (SSI) 	https://www.software.ac.uk/	@SoftwareSaved		UK	ALL	Open Source, Open Science	Institute	info@software.ac.uk				Fellowship Programme 	
SORTEE (Society for Open, Reliable, and Transparent Ecology and Evolutionary biology)	https://www.sortee.org/	@sortecoevo	NA	ALL	Ecology, evolutionary biology, and related disciplines	All	All	sortecoevo@gmail.com		elliot.gould@unimelb.edu.au			
SPARC	https://sparcopen.org/	@sparc_na	https://www.facebook.com/sparcopen/	ALL	ALL	Open Access, Open Data, Open Education	Community	heather@sparcopen.org	@hjoseph				
SportRXiv	http://sportrxiv.org/	@sportrxiv		ALL	Sport, Exercise, Performance, and Health Research	Preprints and Postprints	Service	aaron@sportrxiv.org	@exphysstudent				
Strengthening the Evidence in Exercise Sciences (SEES Initiative)	https://sees-initiative.org/	@SEES_Initiative		ALL	Exercise sciences	Research practices, open science uptake	Initiative	danielumpierre@hcpa.edu.br	@danielumpierre	sees.initiative@gmail.com		OSF webpage: https://osf.io/ntw7d/	
Structural Genomics Consortium (SGC)	https://www.thesgc.org/	@thesgconline		ALL	Life Sciences, Policy	Open Science Drug Discovery, Open Science Policy		arij.alchawaf@thesgc.org	@tweetsfromArij				
Student Initiative for Open Science (SIOS)	https://studentinitiativeopenscience.wordpress.com/	@StudentIOS	https://www.facebook.com/SIOS-2168813896765365/	ALL (based in Amsterdam), University of Amsterdam	ALL but mainly Social Sciences/ Psychology	Promoting Open Science among Students	Initiative	sios.information@gmail.com					
StudySwap	https://osf.io/view/StudySwap/	@Study_Swap		ALL	ALL	Collaborative Research	Service	cchartie@ashland.edu		rmccarthy3@niu.edu 			
Surrey Reproducibility Society	https://osf.io/a6xqu/	@Surrey_Repro		Surrey, UK				surrey_reproducibility@surrey.ac.uk					
Swinburne Open Science Taskforce				Melbourne, Australia	ALL	Encouraging Institutional Initiatives; Developing community across university  	Training, incentives, interdisciplinary collaboration	jbeaudry@swin.edu.au	@drjbeaudry	tjohnstone@swin.edu.au	@itjohnstone	Currently running a university-wide survey to determine what open sciences practices are being used in various disciplines, and to identify the perceived benefits and risks of those practices. 	
Swiss Open Psychological Science Initiative	sopsi.org	@swisssopsi		Switzerland	Psychology	Workshops	Initiative	a.souza@psychologie.uzh.ch		Evie.Vergauwe@unige.ch			
Sydney Open Research Network	https://sydneyopenresearch.org/	@sydneyopenres		Sydney, Australia	ALL	ALL	Community	f.bradley@unsw.edu.au	@fiona_bradley			Part of the Australia & New Zealand Open Research Network (ANZORN)	
Tanenbaum Open Science Institute (TOSI) at The Neuro	https://www.mcgill.ca/neuro/open-science-0	@seyller_annabel		ALL (based in Montreal)	Neuroscience	Open data - Open access - Open samples - Open biobanks - Open reagents - Early durg discovery - IP compatible with OS (no patent)	Institute	annabel.seyller@mcgill.ca	@seyller_annabel			As far as we know, still the first and only academic organization to have an institution-wide policy on OS practices. Would love to learn from others...	
the Carpentries	https://carpentries.org	@thecarpentries		ALL	ALL	Reproducibility, open teaching materials	training	team@carpentries.org					
The Cost of Knowledge community	http://thecostofknowledge.com/	@costofknowledge		ALL	ALL		Community	tylerneylon@gmail.com					
The Many Lab	https://osf.io/89vqh/	@manylab		ALL	ALL	Collaborative Research	Project	manylab@cos.io				Due to a lack of traffic and activity on this site, the admins recommend that anyone interested in starting crowdsourced projects check out StudySwap (osf.io/view/StudySwap/) and/or the Psychological Science Accelerator (psysciacc.org/) as resources to support their work	
The ORION Open Science Podcast	https://orionopenscience.podbean.com	@OOSP_ORIONPod		ALL	ALL	Podcasts on Open Science	Podcast	luiza.bengtsson@mdc-berlin.de	@bengtza	emmaanne.harris@mdc-berlin.de	@Emma_A_Harris	Tune in for a new podcast every second Thursday!	
The Turing Way	https://the-turing-way.netlify.com/	@TuringWay		ALL	ALL	Reproducibility	Community/Guideline	kwhitaker@turing.ac.uk				Community of researchers developing guidance around reproducible data science, including open research	
Thesis Commons	https://thesiscommons.org/	NA		ALL	ALL	Preprints and Postprints	Service	contact@cos.io					
Tim Sains Terbuka Indonesia				Indonesia	ALL	Advocacy		suryadarma@gmail.com					
Transparent Statistics in HCI	https://transparentstatistics.org/	@trans_stats_hci		ALL	Human-Computer Interaction	transparent reporting, open science	Blog, Guideline	core@transparentstatistics.org					
Tübinger Open Science Initiative		@tuebingenOSI	NA	Tübingen, Germany	ALL	ALL		juergen.schneider@uni-tuebingen.de					
Ubiquity Press / Ubiquity Partner Network	https://www.ubiquitypress.com/	@ubiquitypress	https://www.facebook.com/UbiquityPress	ALL	ALL	ALL	Service	tim.wakeford@ubiquitypress.com		brian.hole@ubiquitypress.com		We are a platform for a network of open access library and society publishers and would be happy to recommend that they all sign up individually should that be a benefit to them	
UK Network of Open Research Working Groups (UK-ORWG)	https://osf.io/vgt3x/	NA		UK	ALL	Advocacy	Project	chambersc1@cardiff.ac.uk		c.hartwright@aston.ac.uk			
UK Reproducibility Network	www.ukrn.org	@ukrepro		UK, University of Bristol	ALL	ALL	Community	ukrn-admin@bristol.ac.uk		Malcolm.Macleod@ed.ac.uk 			
UKRN @ Portsmouth (University of Portsmouth Open Science Network)				Portsmouth, UK	ALL	Open Science		matthew.parker@port.ac.uk	@psych_genes	james.clay@port.ac.uk	@jamesmclay	Part of UKRN and UK-ORWG	
UKRN: Chester Open Research Alliance (CORA)				Chester, UK	ALL	Open Science, R support		s.stewart@chester.ac.uk				Part of UKRN and UK-ORWG	
UKRN: Reproducible Research Oxford	http://ox.ukrn.org/	@RR_Oxford		University Oxford, UK	ALL	ALL	Project	laura.fortunato@anthro.ox.ac.uk	@anthrolog	dorothy.bishop@psy.ox.ac.uk 			
UKRN@Aberdeen (University of Aberdeen Open Research Working Group)				Northern Scotland	ALL	ALL		jessicabutler@abdn.ac.uk	@jebs284				
UKRN@Bath 				Bath, UK	ALL	ALL		k.s.button@bath.ac.uk	@buttonkate				
UKRN@Bristol				Bristol, UK	ALL	ALL		 hugo.pedder@bristol.ac.uk					
UKRN@Exeter		@UKRNExe		Exeter, UK	ALL	ALL		m.j.kelson@exeter.ac.uk					
UKRN@Kingston				Kingston, England		ALL		e.henderson@kingston.ac.uk	@EmmaHenderonRR				
UKRN@Lancaster PrOSPr (Promoting Open Science Practices)	https://www.lancaster.ac.uk/psychology/research/open-science/	@prosprPsych		Lancaster University, UK	Psychology and cognate disciplines	Advocacy, training, workshops, reading groups etc.	Community	D.lynott@lancaster.ac.uk		J.towse@lancaster.ac.uk		Open Science Working Group in Lancaster University 	
UKRN@Leeds			 	Leeds, England	ALL	ALL		P.W.G.Tennant@leeds.ac.uk	@PWGTennant	 			
UKRN@Loughborough				Loughborough, UK	ALL	ALL		t.e.wege@lboro.ac.uk	@theresawege	c.gilmore@lboro.ac.uk			
UKRN@LSE (LSE Reproducibility Network)	under construction	@LSEBehavioural (temporary)		London, UK	All social sciences	ALL		m.m.galizzi@lse.ac.uk	@Matteo_Galizzi			Part of UKRN	
UKRN@Manchester				Manchester, UK	All - cross faculty open science working group.	ALL		Andrew.Stewart@manchester.ac.uk				Open Science Working Group at the University of Manchester	
UKRN@Northumbria				Northumbria University (NE, England)	Psychology	ALL		thomas.pollet@northumbria.ac.uk	@tvpollet				
UKRN@Plymouth				Plymouth, UK	Psychology at present	ALL		andy.wills@plymouth.ac.uk	@ajwills72				
UKRN@Sheffield				Sheffield (Uni of, and Sheffield Hallam)	ALL	ALL		t.stafford@sheffield.ac.uk	@tomstafford	a.j.furley@sheffield.ac.uk			
UKRN@Southampton				Southampton, UK.	ALL	ALL		C.Bokhove@soton.ac.uk	@cbokhove			Part of UKRN	
UKRN@Surrey (University of Surrey Reproducibility Society and University of Surrey Open Research Working Group	https://osf.io/a6xqu/ (SRS); https://osf.io/vgt3x/ (Surrey ORWG)	@Surrey_Repro		Guildford, UK	ALL	Promoting Open and Reproducible Science, the network includes a student run Surrey Reproducibility Society as well a local working group to be established for the next academic year 2019/2020	Project	m.slade@surrey.ac.uk	e.farran@surrey.ac.uk	k.gilligan@surrey.ac.uk	surrey_reproducibility@surrey.ac.uk	University based network that bringing together staff and students, collaborating with other groups in UK universities, part of the UKRN	
UKRN@Swansea	TBD	@UKRNSwansea		Swansea, UK	Cross faculty	Open Science		L.L.Wilkinson@swansea.ac.uk	@LLWSwansea			Open Science Working Group at Swansea University	
UKRN@UWE, Bristol	TBD	https://twitter.com/PSRG_UWE	https://www.facebook.com/PSRG.UWE/	Bristol, UK	Psychology  	ALL		charlotte.pennington@uwe.ac.uk 	@cpennington92 (Twitter)	kait.clark@uwe.ac.uk		Open Science Working Group at the University of the West of England, Bristol	
UKRN@York: Educational researchers for open science (EROS)	https://osf.io/qwurf 												
University of Salford Open Research Network	http://www.salford.ac.uk/library/research/openaccess/open-research-network	@OpenResSalford		University Salford, UK	ALL	Advocacy	Community	usir@salford.ac.uk				Wendy Taylor (Scholarly Communications Librarian) and Bill Ayres (Research Data Manager)	
University of Vienna Branch of - Network of Open Science Initiatives at Psychology Departments (NOSI)	https://osf.io/tbkzh/wiki/home/	NA	NA	University of Vienna	Psychology	Promoting Open Science in Research and Teaching	Community	martin.voracek@univie.ac.at		ulrich.tran@univie.ac.at			
UQ Open Science	https://www.uqopenscience.org			University of Queensland		ALL	Conference	e.vanman@psy.uq.edu.au	@socialneuro				
UTS ePRESS	https://utsepress.lib.uts.edu.au/	@UTSePRESS	https://www.facebook.com/UTSePRESS/	ALL	ALL	ALL	Service	scott.abbott@uts.edu.au				Open Access Press of the University of Technology Sydney	
WSSSPE (Working towards Sustainable Software for Science: Practice and Experiences)	http://wssspe.researchcomputing.org.uk	@WSSSPE 		ALL	ALL	sustainable research software	Community	d.katz@ieee.org				an international community-driven organization that promotes sustainable research software	
York Open Research	https://www.york.ac.uk/staff/research/open-research/open-research-at-york/			University of York, UK	ALL	Community of practice enabling open research advocacy and discussion across all disciplines	Community	lib-open-research@york.ac.uk					
Young Academy of Europe	http://yacadeuro.org/	@yacadeuro		Europe - Based in Brussels	ALL	Representing excellent researchers	Initiative	chair@yacadeuro.org		toma.susi@univie.ac.at		A pan-European initiative of outstanding young scientists for networking, scientific exchange and science policy, organized as a bottom-up initiative of a dynamic and innovative group of recognized European young scientists and scholars with outspoken views about science and science policy	
UK Council of Open Research and Repositories	https://www.ukcorr.org/2020/12/02/open-access-is-not-enough-reproducible-science-research-and-scholarship/	@ukcorr		UK	ALL								
The Unjournal	https://effective-giving-marketing.gitbook.io/unjournal-x-ea-and-global-priorities-research/	@givingtools		ALL	Economics, Psychology, Political Science, Social Sciences, Impact Evaluation, Global Health, Data Science, quantitative and empirical work with implications for global priorities	We will organize and fund public journal-independent feedback, rating, and evaluation of hosted papers and dynamically-presented research projects.	Project	dreinstein@rethinkpriorities.org	daaronr@gmail.com			The "Unjournal" (with funding from the Long Term Future Fund via ACX grants) will not 'publish any journal'; we will organize and fund public journal-independent feedback, rating, and evaluation of  hosted papers and dynamically-presented research projects. We will focus on work that is highly relevant to global priorities (especially in economics, social science, and impact evaluation). We will encourage better research by making it easier for researchers to get feedback and credible ratings on their work.  Why? Peer review is great, but academic publication processes are wasteful, slow, and rent-extracting. They discourage innovation and encourage a great deal of effort spent 'gaming the system'. We will both provide an immediate alternative and also offer a bridge to a better system.  We will do this through: Identifying relevant research work, to be hosted on any open platform in any format that can gain a time-stamped DOI.  Authors can present their work in the ways they find most convenient, complete, and legible. We will encourage and enable dynamic documents and other formats that promote replicability and open science. Paying reviewers to evaluate and give careful feedback on this work. We will elicit quantifiable and comparable metrics of research quality as credible measures of value.     Reviews may be made public (perhaps only by authors' permission, this is a point to discuss), along with authors' possible replies. This will facilitate dialogue and a greater understanding of research.  We will link work but not 'publish it'.  This process will not be 'exclusive': authors can 'submit their work to a journal' at any point. This will also serve to benchmark our evaluations.   We will consider funding later rounds of review/evaluations of improved and expanded versions of previously-evaluated work. Awarding financial prizes (perhaps combined with public presentations) for the work judged to be the strongest We will aim to be as transparent as possible in our processes and judgments.	
													
													
													
					 								
